name,full_participation,commonwealth_v_freeman_100001.txt,state_v_wilson_100212.txt,dk_v_state_100213.txt,state_v_davalos_100072.txt,unitedstates_v_hearns_100031.txt,unitedstates_v_powell_100018.txt,kappa,annotation_score,lsat,ug_gpa,law_qpa
976705,no,0,0.759,0,0,0,0,0.070180663,1,157,3.71,3.946
116216,yes,0.672,0.517,0.957,0.68,0.556,0.853,0.387525267,0.9729,150,3.76,3.286
646425,yes,0.586,0.586,0.652,0.92,0.556,0.824,0.365513635,0.9458,162,3.27,3.607
292528,yes,0.621,0.552,0.609,0.64,0.667,0.676,0.372073845,0.9396,160,3.98,3.393
698721,yes,0.448,0.517,0.435,0.44,0.556,0.706,0.342688473,0.925,161,4.11,3.375
805547,no,0,0.517,0,0,0,0,0.056731335,0.9083,161,3.56,3.768
946573,no,0,0.621,0,0,0,0,0.055753262,0.9063,162,3.42,3.5
132563,no,0,0.552,0,0,0,0,0.053787086,0.8958,155,3.8,3.339
978317,yes,0.466,0.655,0.652,1,0.889,0.676,0.325893647,0.8958,155,3.71,3.661
214113,yes,0.534,0.276,0.304,0.8,0.778,0.676,0.306161669,0.8917,156,3.39,3.268
293496,yes,0.483,0.483,0.87,0.96,0.556,0.765,0.320932454,0.8813,157,3.56,3.804
437339,yes,0.397,0.586,0.478,0.68,0.778,0.559,0.322119385,0.8708,162,3.76,3.5
658624,yes,0.345,0.552,0.435,0.52,0.556,0.588,0.355939406,0.8667,156,3.74,3.554
480090,yes,0.655,0.621,0.435,0.84,0.333,0.5,0.299601979,0.8667,160,3.16,2.661
298983,yes,0.483,0.414,0.261,0.64,0.667,0.412,0.318686903,0.8604,155,3.48,3.143
137939,yes,0.586,0.517,0.391,0.64,0.667,0.471,0.31590043,0.8542,160,3.77,2.946
773142,yes,0.224,0.483,0.478,0.2,0.667,0.471,0.320130813,0.8521,155,3.97,3.821
705123,yes,0.276,0.414,0.348,0.4,0.556,0.559,0.303427935,0.8479,163,3.25,3.375
300271,yes,0.397,0.828,0.652,0.52,0.889,0.824,0.352388081,0.8438,160,3.61,3.393
